loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.6321781873703003,0.8917983938443338,1
0.5574557781219482,0.5787160038725446,2
0.5136821866035461,0.5203407042278072,3
0.4971064031124115,0.49155888556877547,4
0.4818365275859833,0.47265100796349574,5
0.4722541272640228,0.45895178361433225,6
0.46203216910362244,0.4483700451118494,7
0.4587611258029938,0.4394123153247976,8
0.45155757665634155,0.4320143668535822,9
0.4475691318511963,0.42591236012767786,10
0.4460464119911194,0.4203174364945245,11
0.4416918158531189,0.41558741894311485,12
0.43911510705947876,0.41124159676465444,13
0.43797457218170166,0.4072057015421678,14
0.4288959205150604,0.40360089599474025,15
0.4357883334159851,0.4005768565125381,16
0.42749565839767456,0.39741970705830193,17
0.4256168305873871,0.3947864388551365,18
0.42879149317741394,0.39233186927273606,19
0.4298439025878906,0.3899954030938954,20
0.42596492171287537,0.3877655637253121,21
0.42761555314064026,0.3856664075125722,22
0.4272758662700653,0.38360012596060916,23
0.42530199885368347,0.3819503955035205,24
0.42094194889068604,0.38008327396755237,25
0.42548254132270813,0.3782484567855475,26
0.41942018270492554,0.3769386550402886,27
0.4237675666809082,0.3753130978284652,28
0.41624635457992554,0.3737689940646694,29
0.41697928309440613,0.3722850204794124,30
0.4211263954639435,0.37111069221679127,31
0.41796258091926575,0.36954069518798094,32
0.424189954996109,0.36895830184916933,33
0.4218059480190277,0.36729017712600204,34
0.41859591007232666,0.36623969835504877,35
0.4159162640571594,0.3651209528150122,36
0.41663244366645813,0.36387860365942415,37
0.41937610507011414,0.3631589101030936,38
0.4171803891658783,0.36210414683785425,39
0.4192911982536316,0.36120663417710197,40
0.4212524890899658,0.3601681910086524,41
0.4224335849285126,0.3593283623150862,42
0.4138880968093872,0.3583197931782538,43
0.41568607091903687,0.3575777650769908,44
0.4244970381259918,0.35667731823707494,45
0.41075462102890015,0.35576736442849083,46
0.4214862585067749,0.35509400883642567,47
0.4186229705810547,0.35432969516510165,48
0.41435757279396057,0.35342453610774627,49
0.4185391664505005,0.35299640707497726,50
0.41831162571907043,0.3520023774087819,51
0.4183054268360138,0.35136444634304886,52
0.4182446599006653,0.35090448408901526,53
0.4140849709510803,0.35010292778273366,54
0.41280797123908997,0.34953230068463237,55
0.4178948700428009,0.34867308066895253,56
0.4179319143295288,0.34806914717988585,57
0.4154515564441681,0.3478685525340749,58
0.4176371395587921,0.3468551547531766,59
0.41704168915748596,0.3465182428934327,60
0.41746044158935547,0.3459609830134612,61
0.41427531838417053,0.3454308657029541,62
0.418099045753479,0.3443202825765761,63
0.4166750907897949,0.34433475835205346,64
0.41624295711517334,0.343621731889682,65
0.419150173664093,0.3430310700064391,66
0.4193110167980194,0.3426375109163208,67
0.4192589819431305,0.34205353766484975,68
0.4166388213634491,0.3416377713366383,69
0.41451379656791687,0.34116173611412975,70
0.420118123292923,0.34076257555090744,71
0.41936901211738586,0.3401543351392897,72
0.41956809163093567,0.3395976803494212,73
0.4155460298061371,0.3391507491678083,74
0.42017224431037903,0.3388844487212953,75
0.4208523631095886,0.33845922704281706,76
0.4200187027454376,0.3379742580524234,77
0.4145604968070984,0.33749360628043457,78
0.4156196415424347,0.3372532764569718,79
0.41830193996429443,0.33675492349681624,80
