holdout_loss,loss,timestep,eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,eval/pick_success
-1.66154867420166,-1.6611585419648767,25080,,,,,
-1.6657217033742142,-1.6428510588445477,25707,,,,,
-1.6662484158359248,-1.6732107059211483,26334,,,,,
-1.6702631411560047,-1.6772101274721187,26961,,,,,
-1.6681947928676586,-1.665792261718944,27588,,,,,
-1.671496241476739,-1.6685746771514798,28215,,,,,
-1.6733390602388654,-1.6646230068935721,28842,,,,,
-1.6719153069993533,-1.6764865361960828,29469,,,,,
-1.6750779667159188,-1.6768229068464542,30096,,,,,
-1.673459317695583,-1.656213787710591,30723,,,,,
-1.6756733737683935,-1.6821551679805595,31350,,,,,
-1.6780394420289164,-1.6505903582664052,31977,,,,,
-1.6768952174620195,-1.6802386159350144,32604,,,,,
-1.6763119083462343,-1.6809009480628228,33231,,,,,
-1.6789568065646376,-1.6531548067262964,33858,,,,,
-1.680378349203814,-1.6429617541610824,34485,,,,,
-1.6822521005901254,-1.654706125046797,35112,,,,,
-1.6833036253897198,-1.6830548192285424,35739,,,,,
-1.68215536919127,-1.6726958964281018,36366,,,,,
-1.6835337481810502,-1.6659149083362248,36993,,,,,
-1.6842074787787833,-1.6834544664735254,37620,,,,,
-1.6858952707080739,-1.6808999526272907,38247,,,,,
-1.6867585054805196,-1.6856590129767255,38874,,,,,
-1.6870979757019962,-1.6888404887193322,39501,,,,,
-1.6885862409403085,-1.6879409225123696,40128,,,,,
-1.6878323032144926,-1.689790333152577,40755,,,,,
-1.6879229897327184,-1.6904530844111356,41382,,,,,
-1.6885890540513881,-1.6895193377877504,42009,,,,,
-1.6906697634114376,-1.6764168564681035,42636,,,,,
-1.6916217347651574,-1.6889738292451117,43263,,,,,
-1.6909192876572445,-1.6919532740951346,43890,,,,,
-1.6937451647799544,-1.6763950388902304,44517,,,,,
-1.6928386560847684,-1.6857737090177605,45144,,,,,
-1.6943450679429204,-1.6891268271549496,45771,,,,,
-1.692252384608632,-1.6860655363957586,46398,,,,,
-1.6951091093690018,-1.690321273864455,47025,,,,,
-1.6933728851960244,-1.6922586245141966,47652,,,,,
-1.696321572793541,-1.6677853810559413,48279,,,,,
-1.6971318938515403,-1.6801973452233943,48906,,,,,
-1.6967733961543399,-1.694048466196486,49533,,,,,
-1.6986589298674175,-1.6903463738739115,50160,,,,,
-1.6996288624676799,-1.6863144423551621,50787,,,,,
-1.6985256071105914,-1.6933673513922716,51414,,,,,
-1.7012333999220097,-1.6918230185842826,52041,,,,,
-1.7001141921945366,-1.6933742655310662,52668,,,,,
-1.7012643333066955,-1.674428122058796,53295,,,,,
-1.7017241931227798,-1.6933165522897315,53922,,,,,
-1.701708333153854,-1.6931406039341241,54549,,,,,
-1.703217414197359,-1.690230840330671,55176,,,,,
-1.7038172477740399,-1.6890478642882816,55803,,,,,
-1.7036246352218574,-1.6820215457563943,56430,,,,,
-1.704244052394153,-1.6813032308201878,57057,,,,,
-1.705908115590777,-1.6905607190101761,57684,,,,,
-1.705092878432936,-1.6934940746635392,58311,,,,,
-1.7067041537788306,-1.678921135367861,58938,,,,,
-1.7064031940518014,-1.6897918388342397,59565,,,,,
-1.706536430681343,-1.6868802096433693,60192,,,,,
-1.7086790558634002,-1.6988415763636304,60819,,,,,
-1.7091303495318904,-1.6936181206612075,61446,,,,,
-1.7094646568693825,-1.6911368909155482,62073,,,,,
-1.709071851993483,-1.6931702559161335,62700,,,,,
-1.7090655749684502,-1.6956971450975755,63327,,,,,
-1.7101675521053596,-1.685839561140462,63954,,,,,
-1.7113310414257996,-1.6954160009979449,64581,,,,,
-1.712492896038951,-1.6968450432370408,65208,,,,,
-1.7124403080111297,-1.69163734518039,65835,,,,,
-1.7119878192077223,-1.685796159847527,66462,,,,,
-1.7136552613317677,-1.6889952223771703,67089,,,,,
-1.7133451806681386,-1.6894790852905097,67716,,,,,
-1.71401352004001,-1.6914816570889426,68343,,,,,
-1.715063222667626,-1.6946405263463407,68970,,,,,
-1.7154758275030548,-1.689371145075293,69597,,,,,
-1.7155673285230306,-1.6904884516053895,70224,,,,,
-1.7158821458071225,-1.6940869609261755,70851,,,,,
-1.7161019907423556,-1.6888348843641348,71478,,,,,
-1.7170747550860916,-1.697311551707565,72105,,,,,
-1.7182446280925094,-1.6886009608104728,72732,,,,,
-1.718020545618767,-1.686083102302186,73359,,,,,
-1.7186032699055656,-1.681577303227345,73986,,,,,
-1.7194036654117948,-1.6944841776683828,74613,,,,,
-1.7197655922298032,-1.6850582778833458,75240,,,,,
-1.7194153281490219,-1.687716497737133,75867,,,,,
-1.721266281281553,-1.688945305195584,76494,,,,,
-1.7208167985675822,-1.689127481667099,77121,,,,,
-1.7210637473603752,-1.6856805237994843,77748,,,,,
-1.7214860098593927,-1.687485658818749,78375,,,,,
-1.7219833871394272,-1.6831943502851345,79002,,,,,
-1.7230698016651889,-1.6812358441626196,79629,,,,,
-1.7229524348911494,-1.6828609667006549,80256,,,,,
-1.7234167510812943,-1.6840747716320545,80883,,,,,
-1.7240461909599856,-1.6869126930358311,81510,,,,,
-1.7240926814421516,-1.6859373241473163,82137,,,,,
-1.7249065152766034,-1.6884490790640474,82764,,,,,
-1.7252121382352825,-1.6754617341764406,83391,,,,,
-1.7258514260941522,-1.682315609637339,84018,,,,,
-1.7261293109334095,-1.6729318002227012,84645,,,,,
-1.726404931366538,-1.6768501260478026,85272,,,,,
-1.7264974288392874,-1.6805609119166225,85899,,,,,
-1.7273672499725128,-1.67392324414223,86526,,,,,
-1.7275277393286304,-1.6778924768897385,87153,,,,,
-1.728634459930554,-1.6768103648143207,87780,,,,,
-1.728440149929346,-1.675663044498224,88407,,,,,
-1.7283862021170928,-1.674777650529413,89034,,,,,
-1.7295597531198497,-1.6716142281605197,89661,,,,,
-1.729799378241461,-1.674414373127519,90288,,,,,
-1.7291331441398605,-1.6721177875615978,90915,,,,,
-1.7303809332505347,-1.6620304163094535,91542,,,,,
-1.7311762468666552,-1.664810258491783,92169,,,,,
-1.7315290177647942,-1.6576018707387765,92796,,,,,
-1.731103851274249,-1.663218670210261,93423,,,,,
-1.7319228409580072,-1.6618341579558742,94050,,,,,
-1.7320443762546531,-1.6617375904587428,94677,,,,,
-1.7323337770535052,-1.6398633794420079,95304,,,,,
-1.7330000294072379,-1.651013066054909,95931,,,,,
-1.733314956204173,-1.649595944175295,96558,,,,,
-1.733268594057363,-1.6369854420613332,97185,,,,,
-1.734062134744257,-1.6379340279633834,97812,,,,,
-1.733987266747386,-1.617500225829472,98439,,,,,
-1.7347049791086608,-1.630785734220676,99066,,,,,
-1.7347819090269772,-1.6256430669195336,99693,,,,,
-1.7351216387710704,-1.6265295504764383,100320,,,,,
-1.7355572479573529,-1.62373268983926,100947,,,,,
-1.7354431986998895,-1.6231257129626666,101574,,,,,
-1.7359823047449332,-1.6084991222733906,102201,,,,,
-1.736190376479472,-1.614809343389645,102828,,,,,
-1.7365042975074374,-1.621921734065767,103455,,,,,
-1.7366220251414948,-1.603727732114732,104082,,,,,
-1.7368194265989212,-1.6078895387376186,104709,,,,,
-1.73720965868358,-1.5865038284070943,105336,,,,,
-1.737634166956327,-1.596726302887984,105963,,,,,
-1.7377593216903702,-1.5817736413828136,106590,,,,,
-1.7380698423066188,-1.5707595469845332,107217,,,,,
-1.7382042885206914,-1.5671836418710696,107844,,,,,
-1.7384004813442202,-1.5716199905249737,108471,,,,,
-1.7386541653668102,-1.569327218897023,109098,,,,,
-1.7387469946102283,-1.552313998246649,109725,,,,,
-1.7389647264800017,-1.5681764399929403,110352,,,,,
-1.7393358987674392,-1.5504691217355673,110979,,,,,
-1.739430209476221,-1.5493213910206092,111606,,,,,
-1.73955214175691,-1.542032040228509,112233,,,,,
-1.7396418563486848,-1.528190487888967,112860,,,,,
-1.7398759455581985,-1.5139424280755829,113487,,,,,
-1.7400145671394291,-1.5170940331592688,114114,,,,,
-1.7401453965778737,-1.5114309495421727,114741,,,,,
-1.7403542708361932,-1.500990888875001,115368,,,,,
-1.7404223545506412,-1.5056934136493942,115995,,,,,
-1.7405853440696912,-1.4911819941298983,116622,,,,,
-1.7406914941431797,-1.4966857051773441,117249,,,,,
-1.7407422651324345,-1.4880276052815138,117876,,,,,
-1.7408928523223361,-1.4897498518798011,118503,,,,,
-1.7409771570558576,-1.4841826184160387,119130,,,,,
-1.7410853968092508,-1.4831631138066566,119757,,,,,
-1.7411470842893801,-1.479336600394765,120384,,,,,
-1.7412031426954513,-1.4750851248479955,121011,,,,,
-1.7412837777981922,-1.4761145965308893,121638,,,,,
-1.7413425053896119,-1.4751282436832498,122265,,,,,
-1.7413955489604296,-1.4747843875247204,122892,,,,,
-1.7414257938972124,-1.4736740759983182,123519,,,,,
-1.7414590905537821,-1.473506115044758,124146,,,,,
-1.7414860605623124,-1.4732525997860422,124773,,,,,
-1.7414771012332066,-1.4734205430859972,125400,40.0,0.0,0.47,0.49909918853871116,0.49
