eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,loss,timestep
147.0,0.0,191.5,0.0,2.3849952325667476,101
147.0,0.0,193.5,0.0,0.12426220751044788,202
147.0,0.0,193.5,0.0,0.05821143227195972,303
147.0,0.0,193.5,0.0,0.03411361274521537,404
147.0,0.0,193.5,0.0,0.025725962769350786,505
147.0,0.0,193.5,0.0,0.022461765505705448,606
147.0,0.0,193.5,0.0,0.02099785808990203,707
147.0,0.0,193.5,0.0,0.01984155611457801,808
147.0,0.0,193.5,0.0,0.018651010224245267,909
147.0,0.0,193.5,0.0,0.017973360089161016,1010
147.0,0.0,193.5,0.0,0.017516753230575884,1111
147.0,0.0,193.5,0.0,0.016907268959918217,1212
147.0,0.0,193.5,0.0,0.016683461577954264,1313
147.0,0.0,193.5,0.0,0.01634090012953718,1414
147.0,0.0,193.5,0.0,0.015991009504414424,1515
147.0,0.0,193.5,0.0,0.015705606835608444,1616
147.0,0.0,193.5,0.0,0.01565716599141902,1717
147.0,0.0,193.5,0.0,0.015388873857584319,1818
147.0,0.0,193.5,0.0,0.015002973435335971,1919
147.0,0.0,193.5,0.0,0.015143981646045607,2020
147.0,0.0,193.5,0.0,0.014702494855564421,2121
147.0,0.0,194.0,0.0,0.014486399995587245,2222
147.0,0.0,193.5,0.0,0.014318773670509315,2323
147.0,0.0,194.0,0.0,0.014261069495489104,2424
147.0,0.0,193.5,0.0,0.013943861174111321,2525
147.0,0.0,194.0,0.0,0.01396402482422862,2626
147.0,0.0,193.5,0.0,0.013507971337231077,2727
147.0,0.0,193.5,0.0,0.013593188662192602,2828
147.0,0.0,193.5,0.0,0.013389431336654878,2929
147.0,0.0,194.0,0.0,0.01310811427855256,3030
147.0,0.0,194.0,0.0,0.01278313229985461,3131
147.0,0.0,194.0,0.0,0.012860240912673496,3232
147.0,0.0,193.5,0.0,0.012607293231136128,3333
147.0,0.0,194.0,0.0,0.012356992764859506,3434
147.0,0.0,193.5,0.0,0.01227802789244469,3535
147.0,0.0,193.5,0.0,0.012381437621863169,3636
147.0,0.0,193.5,0.0,0.011981577635512197,3737
147.0,0.0,193.5,0.0,0.012053133177543337,3838
147.0,0.0,194.0,0.0,0.01179984528202526,3939
147.0,0.0,194.0,0.0,0.01143554942036914,4040
147.0,0.0,194.0,0.0,0.011658682944345295,4141
147.0,0.0,194.0,0.0,0.011345939941261662,4242
147.0,0.0,194.0,0.0,0.01126908829423027,4343
147.0,0.0,194.0,0.0,0.011123111116524677,4444
147.0,0.0,194.0,0.0,0.011041482569336304,4545
147.0,0.0,194.0,0.0,0.010932581116546802,4646
147.0,0.0,194.0,0.0,0.010963425561232438,4747
147.0,0.0,194.0,0.0,0.01076324345396444,4848
147.0,0.0,194.0,0.0,0.010645354699140581,4949
147.0,0.0,194.0,0.0,0.01060177625553443,5050
147.0,0.0,194.0,0.0,0.010505265127498623,5151
147.0,0.0,194.0,0.0,0.010398098552169617,5252
147.0,0.0,194.0,0.0,0.010424119779969205,5353
147.0,0.0,194.0,0.0,0.01031226836753511,5454
147.0,0.0,194.0,0.0,0.010301922955135313,5555
147.0,0.0,194.0,0.0,0.010305369853752085,5656
147.0,0.0,194.0,0.0,0.010159874878971294,5757
147.0,0.0,194.0,0.0,0.010159798153782136,5858
147.0,0.0,194.0,0.0,0.010014708281989153,5959
147.0,0.0,194.0,0.0,0.010088005670263326,6060
147.0,0.0,194.0,0.0,0.010074319758240394,6161
147.0,0.0,194.0,0.0,0.010030966620929171,6262
147.0,0.0,194.0,0.0,0.010217828473242202,6363
147.0,0.0,194.0,0.0,0.009900943212450875,6464
147.0,0.0,194.0,0.0,0.009969823896921798,6565
147.0,0.0,194.0,0.0,0.01004156907374906,6666
147.0,0.0,194.0,0.0,0.010038974602697507,6767
147.0,0.0,194.0,0.0,0.009780913628268955,6868
147.0,0.0,194.0,0.0,0.009863230524271136,6969
147.0,0.0,194.0,0.0,0.009735302068293095,7070
147.0,0.0,194.0,0.0,0.009837989824464412,7171
147.0,0.0,194.0,0.0,0.009754165481444038,7272
147.0,0.0,194.0,0.0,0.009669053817794912,7373
147.0,0.0,194.0,0.0,0.009650796038642669,7474
147.0,0.0,194.0,0.0,0.009800449815938375,7575
147.0,0.0,194.0,0.0,0.009624162656577805,7676
147.0,0.0,194.0,0.0,0.009575300456928363,7777
147.0,0.0,194.0,0.0,0.009729599280485715,7878
147.0,0.0,194.0,0.0,0.009727694758094181,7979
147.0,0.0,194.0,0.0,0.00955465132840862,8080
147.0,0.0,194.0,0.0,0.009818079987411743,8181
147.0,0.0,194.0,0.0,0.009665408282365548,8282
147.0,0.0,194.0,0.0,0.009626344985116534,8383
147.0,0.0,194.0,0.0,0.0095674911753671,8484
147.0,0.0,194.0,0.0,0.00951261918226459,8585
147.0,0.0,194.0,0.0,0.009671168457163442,8686
147.0,0.0,194.0,0.0,0.009715758264064778,8787
147.0,0.0,194.0,0.0,0.009486476452744549,8888
147.0,0.0,194.0,0.0,0.00947791367935219,8989
147.0,0.0,194.0,0.0,0.009458916664058986,9090
147.0,0.0,194.0,0.0,0.009517844881641094,9191
147.0,0.0,194.0,0.0,0.009454053231874615,9292
147.0,0.0,194.0,0.0,0.009537209115811802,9393
147.0,0.0,194.0,0.0,0.009486640923389114,9494
147.0,0.0,194.0,0.0,0.009536359625140047,9595
147.0,0.0,194.0,0.0,0.009489248492893313,9696
147.0,0.0,194.0,0.0,0.009444878278715114,9797
147.0,0.0,194.0,0.0,0.00952853218163594,9898
147.0,0.0,194.0,0.0,0.009447397827862362,9999
147.0,0.0,194.0,0.0,0.009471508715818129,10100
