loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.0013391641,-47.1540040785028,1
0.0010377497,-59.58563048094126,2
0.0009596996,-62.566508463186814,3
0.0009039383,-64.97333250119705,4
0.0008783674,-67.0511290478768,5
0.00085207884,-68.515580238914,6
0.0008354768,-69.67455400668989,7
0.0008223484,-70.64182251429989,8
0.00081392576,-71.53260922986408,9
0.0008404823,-72.48010341141575,10
0.00082161016,-73.21798923403718,11
0.00081079314,-74.69979771163112,12
0.00079439627,-75.04240839857155,13
0.00078783714,-75.63891182142943,14
0.000809329,-75.303807537069,15
0.00077297643,-74.09012405508865,16
0.00078288466,-76.50767710781837,17
0.0007664907,-77.26395658744399,18
0.0007659724,-77.09016882726388,19
0.0007631081,-77.04269573300384,20
0.0007513413,-78.35503818699247,21
0.0007612249,-76.97163049564806,22
0.0007632744,-77.3135845963037,23
0.0007499976,-77.00533510055345,24
0.0007510784,-76.99136340464116,25
0.0007378239,-77.81418595819203,26
0.00073684996,-77.81013908189088,27
0.000772186,-76.6786420413074,28
0.00075335393,-76.98535278970881,29
0.0007653523,-77.4912695798455,30
0.00074521586,-74.4995263787203,31
0.0007434882,-79.2425889106376,32
0.00074181304,-78.53390680357467,33
0.0007363508,-78.05654962919171,34
0.0007390793,-79.93324264999508,35
0.0007346111,-79.2070751535184,36
0.0007294477,-77.28733563977619,37
0.0007409989,-77.00765674305208,38
0.0007373948,-77.46476847626442,39
0.0007401139,-76.89164183745089,40
0.00074305607,-78.9006642827076,41
0.0007312382,-80.42567602054093,42
0.0007419415,-80.00262776948993,43
0.00073227845,-79.92430511001469,44
0.00072954065,-77.78544044494629,45
