eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,loss,timestep
51.0,0.0,66.0,0.0,0.35103033261724037,101
51.0,0.0,65.5,0.0,0.04194554928136939,202
51.0,0.0,66.0,0.0,0.03185408721023264,303
51.0,0.0,65.5,0.0,0.027214947184271147,404
51.0,0.0,65.5,0.0,0.024884362529852606,505
51.0,0.0,65.5,0.0,0.02293006968131233,606
51.0,0.0,65.5,0.0,0.022021820362989268,707
51.0,0.0,66.0,0.0,0.020940913521975156,808
51.0,0.0,66.0,0.0,0.01975851406638353,909
51.0,0.0,66.0,0.0,0.018974796897676387,1010
51.0,0.0,66.0,0.0,0.01895002057167267,1111
51.0,0.0,66.0,0.0,0.01798207248966809,1212
51.0,0.0,66.0,0.0,0.017226184414161416,1313
51.0,0.0,66.0,0.0,0.016833273520304764,1414
51.0,0.0,66.0,0.0,0.01680602147292903,1515
51.0,0.0,66.0,0.0,0.016061908606668045,1616
51.0,0.0,66.0,0.0,0.015895803807370174,1717
51.0,0.0,66.0,0.0,0.015595022251248576,1818
51.0,0.0,66.0,0.0,0.016023430037358316,1919
51.0,0.0,66.0,0.0,0.015670913481852348,2020
51.0,0.0,66.0,0.0,0.015110931896355623,2121
51.0,0.0,66.0,0.0,0.014983667409978807,2222
51.0,0.0,66.0,0.0,0.014498111349299991,2323
51.0,0.0,65.5,0.0,0.014685995107986918,2424
51.0,0.0,66.0,0.0,0.014791057404766945,2525
51.0,0.0,66.0,0.0,0.014190254127260958,2626
51.0,0.0,66.0,0.0,0.014094223108691259,2727
51.0,0.0,66.0,0.0,0.01413852138223477,2828
51.0,0.0,66.0,0.0,0.014406317803492342,2929
51.0,0.0,66.0,0.0,0.014116057666481965,3030
51.0,0.0,66.0,0.0,0.013978925648279081,3131
51.0,0.0,66.0,0.0,0.013478917102006695,3232
51.0,0.0,66.0,0.0,0.013926363563958074,3333
51.0,0.0,66.0,0.0,0.01352705273749584,3434
51.0,0.0,66.0,0.0,0.013525468815408536,3535
51.0,0.0,66.0,0.0,0.013648239623105136,3636
51.0,0.0,66.0,0.0,0.013636432377169704,3737
51.0,0.0,66.0,0.0,0.013414073854196115,3838
51.0,0.0,66.0,0.0,0.013118750620909999,3939
51.0,0.0,66.0,0.0,0.013271087990372934,4040
51.0,0.0,66.0,0.0,0.013344986957848302,4141
51.0,0.0,66.0,0.0,0.013371987232309066,4242
51.0,0.0,66.0,0.0,0.013022529738171418,4343
51.0,0.0,66.0,0.0,0.013072441122264111,4444
51.0,0.0,66.0,0.0,0.013006986094071615,4545
51.0,0.0,66.0,0.0,0.012884167287242829,4646
51.0,0.0,66.0,0.0,0.012892956082423277,4747
51.0,0.0,66.0,0.0,0.012839149605191202,4848
51.0,0.0,66.0,0.0,0.012757208789606574,4949
51.0,0.0,66.0,0.0,0.01278831926289725,5050
51.0,0.0,66.0,0.0,0.012899230574926205,5151
51.0,0.0,66.0,0.0,0.013021793946656075,5252
51.0,0.0,66.0,0.0,0.012725636741091128,5353
51.0,0.0,66.0,0.0,0.012608131936677529,5454
51.0,0.0,66.0,0.0,0.012532292117161841,5555
51.0,0.0,66.0,0.0,0.01249854806418725,5656
51.0,0.0,66.0,0.0,0.012492172323204207,5757
51.0,0.0,66.0,0.0,0.012576106835749131,5858
51.0,0.0,66.0,0.0,0.012389047505445816,5959
51.0,0.0,66.0,0.0,0.012397307472644687,6060
51.0,0.0,66.0,0.0,0.012488073880304719,6161
51.0,0.0,66.0,0.0,0.012358271534581168,6262
51.0,0.0,66.0,0.0,0.012371725303646502,6363
51.0,0.0,66.0,0.0,0.012344425416489288,6464
51.0,0.0,66.0,0.0,0.012252019463468771,6565
51.0,0.0,66.0,0.0,0.012282927604138601,6666
51.0,0.0,66.0,0.0,0.012311018790155287,6767
51.0,0.0,66.0,0.0,0.012263220504801116,6868
51.0,0.0,66.0,0.0,0.012202957142513274,6969
51.0,0.0,66.0,0.0,0.012263471041955888,7070
51.0,0.0,66.0,0.0,0.012214023454056009,7171
51.0,0.0,66.0,0.0,0.012142720568140208,7272
51.0,0.0,66.0,0.0,0.013620227009362294,7373
51.0,0.0,66.0,0.0,0.012182049915461925,7474
51.0,0.0,66.0,0.0,0.012064777709437669,7575
51.0,0.0,66.0,0.0,0.012059331080722987,7676
51.0,0.0,66.0,0.0,0.012087892710420278,7777
51.0,0.0,66.0,0.0,0.012237580818133338,7878
51.0,0.0,66.0,0.0,0.013661734228446569,7979
51.0,0.0,66.0,0.0,0.01376831353443795,8080
51.0,0.0,66.0,0.0,0.01212497949680904,8181
51.0,0.0,66.0,0.0,0.011976465697389898,8282
51.0,0.0,66.0,0.0,0.011989285799992817,8383
51.0,0.0,66.0,0.0,0.012128318079037245,8484
51.0,0.0,66.0,0.0,0.01377915108137266,8585
51.0,0.0,66.0,0.0,0.012065792970340886,8686
51.0,0.0,66.0,0.0,0.01196027294090617,8787
51.0,0.0,66.0,0.0,0.01292051655922712,8888
51.0,0.0,66.0,0.0,0.011980566680463068,8989
51.0,0.0,66.0,0.0,0.011971471939981672,9090
51.0,0.0,66.0,0.0,0.012111799694634608,9191
51.0,0.0,66.0,0.0,0.011947091775246105,9292
51.0,0.0,66.0,0.0,0.011937516195109433,9393
51.0,0.0,66.0,0.0,0.011940900909502316,9494
51.0,0.0,66.0,0.0,0.011925144441120935,9595
51.0,0.0,66.0,0.0,0.011924747729185272,9696
51.0,0.0,66.0,0.0,0.011917407562181645,9797
51.0,0.0,66.0,0.0,0.011918029747038875,9898
51.0,0.0,66.0,0.0,0.011914720843081586,9999
51.0,0.0,66.0,0.0,0.011915598632041637,10100
