alpha,eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
0.18578498938679683,40.0,0.0,0.0,0.0,-5.813203454136865,0.26273516436293787,100.51138847637172,101.13549219512942,68000
0.19400015208125107,40.0,0.0,0.0,0.0,-7.571349938124407,0.19583449051156648,120.72096941471085,120.88520559597015,69000
0.19815869241952866,40.0,0.0,0.0,0.0,-8.960696580469625,0.026263261462562026,145.42416448211648,145.84791966533714,70000
0.2020569004565472,40.0,0.0,0.0,0.0,-10.801434714674945,0.3630404933523386,176.6758930711748,176.32857256412558,71000
0.2169516660720106,40.0,0.0,0.0,0.0,-14.127876118898378,0.5139133985824881,236.02095225524866,236.60508513641338,72000
0.23285226325690747,40.0,0.0,0.0,0.0,-17.42528623819348,0.36108635566011155,290.20738385009804,290.8039645729066,73000
0.24052188248932332,40.0,0.0,0.6,0.48989794855663565,-21.07494384574893,0.3502200057134037,331.83221125602796,332.3682282218931,74000
0.2542967655956748,40.0,0.0,0.0,0.0,-25.594516435623106,0.2506229035444556,407.05328516197125,408.04087378883287,75000
0.2722656054496777,40.0,0.0,0.0,0.0,-30.363315248489414,0.46839518276229625,470.0900852622987,471.38318746185365,76000
0.29541320249438335,40.0,0.0,0.0,0.0,-37.41517835617067,0.5252795376963889,567.7561790466322,569.3984822006229,77000
0.3174472637772551,40.0,0.0,0.0,0.0,-45.26554770278925,0.5365896544959395,694.2525651931766,693.8039543838503,78000
0.3370216441452491,40.0,0.0,0.11,0.31288975694324034,-53.478789928436285,0.37879133664816705,902.346219306944,902.511633010863,79000
0.3643372131288051,40.0,0.0,0.0,0.0,-63.98951850509646,0.3633024306800214,1019.9458884887679,1023.231966827393,80000
0.3997503641843793,40.0,0.0,0.0,0.0,-77.47418407440185,0.7851599107123893,1225.0591399993875,1227.6188365325966,81000
0.4440894228518004,40.0,0.0,0.0,0.0,-93.95106340789796,0.6123109846543529,1648.9350592346152,1651.8706283721922,82000
0.4892544496953484,40.0,0.0,0.0,0.0,-113.65065798187253,0.739671080935746,2027.3407444610584,2033.2819368286143,83000
0.547708483755589,40.0,0.0,0.0,0.0,-143.0547823867796,0.6699199767708786,2374.408318176269,2379.9641659545846,84000
0.607113616645337,40.0,0.0,0.01,0.09949874371066199,-175.63446679687524,0.6874085025265814,3054.43033093261,3060.826886352537,85000
0.6746539053320872,40.0,0.0,0.0,0.0,-215.21051240539515,0.486234826937319,3794.999455200196,3801.956014709476,86000
0.7412693566083912,40.0,0.0,0.0,0.0,-257.09530606079096,0.42621093585901,4641.105482330326,4654.550258483902,87000
0.814536883354187,40.0,0.0,0.0,0.0,-306.51813749694827,0.24029185377806447,5535.825444335941,5533.517498718269,88000
0.896929951429367,40.0,0.0,0.0,0.0,-360.449804168701,0.1586378204263749,6436.800926391595,6471.000375793461,89000
1.011836558163164,40.0,0.0,0.0,0.0,-439.92801687622045,-0.020872756904027567,7638.464724548335,7708.3703870849595,90000
1.1373026516437519,40.0,0.0,0.0,0.0,-542.8084089050301,-0.34169692371785665,10178.734125976569,10259.861186340344,91000
1.277398507833483,40.0,0.0,0.0,0.0,-676.0561784667959,-0.7564351445734493,12022.352078735335,12121.791972534178,92000
1.4405884690284718,40.0,0.0,0.0,0.0,-871.6539238281242,-1.5096207752823816,14124.553475952136,14188.188141357432,93000
1.619717222452165,40.0,0.0,0.0,0.0,-1075.300269836426,-2.206543402194978,17870.187907226566,17987.301147705028,94000
1.806988150835033,40.0,0.0,0.0,0.0,-1332.2131757812508,-2.9176835973262776,22932.87748950197,23015.29590332034,95000
2.0084840323925053,40.0,0.0,0.0,0.0,-1664.6597012939433,-3.4627554841041635,31643.136737793,31622.86927441405,96000
2.2246091535091432,40.0,0.0,0.0,0.0,-2082.476148193361,-4.054727118730547,45961.22746582019,45750.726041992246,97000
2.4701972961425755,40.0,0.0,0.0,0.0,-2696.276265625005,-5.035578825235352,75725.023544922,75175.81447753891,98000
2.7542556743621853,40.0,0.0,0.0,0.0,-3649.458661621095,-6.618426764011398,129057.23778515634,127501.77160351565,99000
3.0851061990261113,40.0,0.0,0.0,0.0,-4985.800474365235,-8.251793356895433,229564.58606640593,227679.11159765619,100000
3.4451594839096065,40.0,0.0,0.0,0.0,-6841.6180888672,-10.325665928840644,378883.80431640614,378951.6612187496,101000
3.8481805603504133,40.0,0.0,0.0,0.0,-9311.095579101544,-12.274522739410415,608790.4072187506,610001.9484921874,102000
