loss,timestep
1.0661824711533476,860
0.7409317224178197,1720
0.16311346373932317,2580
0.0917458329912881,3440
0.06867738213650043,4300
0.058642590990246754,5160
0.0545893594709247,6020
0.05134223524134525,6880
0.049743389160653864,7740
0.047531166404139194,8600
0.04593149564813739,9460
0.04417700500682342,10320
0.04368051563844427,11180
0.04248345272269015,12040
0.041751356641653824,12900
0.041288807065507735,13760
0.0405689049577123,14620
0.03994792031427455,15480
0.03970237131945269,16340
0.03920467930174499,17200
0.03873888468586428,18060
0.038908852584833294,18920
0.038274128743728916,19780
0.03843656891826967,20640
0.03820502501154365,21500
0.03783070050006697,22360
0.037507933278589714,23220
0.03722869880540777,24080
0.0371969010702573,24940
0.037148313566522484,25800
