loss,timestep
1.1458609858224544,860
0.746117581045904,1720
0.17873572604947324,2580
0.09748381327751067,3440
0.07095265614172042,4300
0.0592450350046505,5160
0.054165099266656566,6020
0.05146921242825513,6880
0.04935301665736486,7740
0.04725640744057518,8600
0.04634436245704453,9460
0.04491494919801518,10320
0.04394013129694515,11180
0.04313778736476982,12040
0.04203210026458942,12900
0.041694267258741174,13760
0.040623049002660575,14620
0.040272310313357186,15480
0.03991671000325759,16340
0.03925639317089384,17200
0.038925299197868614,18060
0.03876628366970392,18920
0.0383582540484535,19780
0.03780651252370238,20640
0.037859317454574395,21500
0.03752238359735453,22360
0.03751917076838565,23220
0.03703845977609928,24080
0.036840341270489727,24940
0.036983891199667746,25800
