loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.008893774,-46.12911954560637,1
0.008733364,-59.25081617764416,2
0.008530436,-62.38538888936203,3
0.008554845,-64.94931163837127,4
0.008578862,-66.58462970447786,5
0.008646518,-68.27376904352074,6
0.008612392,-69.88362323652558,7
0.0086175,-71.04509574929565,8
0.008611059,-71.59635218046124,9
0.008620836,-72.37033724723244,10
0.008609181,-73.14384358428245,11
0.008633545,-71.48884204006934,12
0.008555981,-70.64527595258807,13
0.008573624,-72.51057957001127,14
0.008618362,-72.91594205654253,15
0.008599085,-73.01036059702398,16
0.008572762,-73.69014157928545,17
0.008534312,-73.34704656379168,18
0.008546896,-76.85429660294407,19
0.008602466,-77.59386178935837,20
0.0086367475,-77.33352484197887,21
0.008629379,-77.66283578897324,22
0.008641386,-78.30029207668255,23
