loss,timestep
1.1137481159942109,860
0.7638366684664147,1720
0.1766514965874505,2580
0.09488556740242368,3440
0.06890818581071709,4300
0.058333370817262004,5160
0.05324626701862306,6020
0.05044169438959548,6880
0.04861114210947317,7740
0.04672519040055753,8600
0.045461411791485405,9460
0.04411352780582605,10320
0.04265127765924433,11180
0.04201631723838157,12040
0.04158934805282328,12900
0.04083274287106687,13760
0.04068085298938471,14620
0.039978648133056106,15480
0.03950967280584025,16340
0.038989602692078795,17200
0.0386169330801728,18060
0.03862525024343016,18920
0.038187950412028056,19780
0.038004467911411884,20640
0.03756355687022894,21500
0.03742618199307915,22360
0.037369373373600634,23220
0.037077368499148,24080
0.03702740994780218,24940
0.036593215061394936,25800
