eval/episode_length,eval/episode_length_no_fix_seed,eval/episode_length_std,eval/episode_length_std_no_fix_seed,eval/normalized_episode_reward,eval/normalized_episode_reward_no_fix_seed,eval/normalized_episode_reward_std,eval/normalized_episode_reward_std_no_fix_seed,loss,timestep
46.5,46.5,0.6708203932499369,0.6708203932499369,2.946956580072381,2.946956580072381,0.6597615567656626,0.6597615567656626,0.4809669879862811,977
233.7,234.4,1.4866068747318506,2.009975124224178,14.190437137318398,14.204562364790165,0.6857474286837401,0.7127601188004545,0.18012577180913705,1954
138.7,139.0,0.6403124237432849,0.4472135954999579,10.96982382287363,10.990772353232085,0.6723761296947142,0.6566565274337182,0.15715141637115432,2931
46.5,46.2,1.118033988749895,1.4696938456699067,2.8747548525910527,2.847311120219146,0.7054478649790524,0.7303000247828847,0.14286980263225388,3908
35.3,34.8,0.7810249675906654,0.4,2.103655418149997,2.0758328378597057,0.6642657733481547,0.6456241620183667,0.13272000654021934,4885
42.7,43.0,0.6403124237432849,0.6324555320336759,2.7095074633528773,2.7315152983426234,0.6664521676092285,0.6669972193097982,0.12490758380662906,5862
31.3,31.0,0.6403124237432849,0.4472135954999579,1.946230112115896,1.9294603186189945,0.6565958840597295,0.6467614158263048,0.11641900332886708,6839
48.3,48.1,0.6403124237432849,0.8306623862918076,2.6413616651117975,2.6312411330723444,0.6508459720496048,0.6580394283276029,0.1096047589073037,7816
48.4,47.4,0.66332495807108,0.4898979485566356,3.0626029012226397,2.9955962445961544,0.6675886173209321,0.6572386395143058,0.10437783067369183,8793
47.6,47.2,0.7999999999999999,0.6,2.848231565565044,2.825585423914968,0.6726931199727967,0.6642610591951452,0.0989054376631212,9770
36.4,35.9,0.9165151389911681,0.8306623862918074,2.309171244637711,2.278336546983436,0.675322032931142,0.6702221406090497,0.09362572314124247,10747
132.9,166.2,30.72604758181566,37.514797080618735,10.189644416107106,13.847455378373924,4.164705315781015,5.274159735869767,0.08957209647037383,11724
335.6,323.8,84.92019783302439,84.43672186910148,13.359386851449049,12.975421070079932,3.7362284672400867,3.732244205227289,0.08615923142146417,12701
122.0,109.1,32.05308097515744,26.204770558049155,10.355984255112105,8.727924984322053,4.536602986107694,3.774556476614894,0.08397260660585865,13678
45.3,45.2,0.6403124237432849,0.6,2.872496259109015,2.858391089004858,0.6658319521202606,0.6656980490277923,0.08003593361273989,14655
113.2,113.9,0.9797958971132712,1.57797338380595,6.966671000863485,7.010696064733684,0.6984413745195258,0.7287600025351665,0.07816444148243762,15632
64.1,64.4,0.7000000000000001,0.8,3.6238866161383174,3.6445399712846127,0.6593984072137513,0.6643578455798,0.07592271684746153,16609
77.1,78.1,1.3,1.6401219466856725,4.834781354406401,4.918581035544296,0.7279531343240031,0.7471966909833042,0.07419809304795459,17586
85.5,61.3,39.613760235554516,24.605080776132397,6.257575655206182,4.15976049442114,4.052743384968573,2.751634939237068,0.07252586848782178,18563
586.9,609.2,52.817516033982514,57.71446958952322,56.36641972204838,58.94940924781673,6.514787426497564,7.053822939229824,0.07134332005296778,19540
376.9,358.3,31.162316987027776,26.559555719175727,37.682083715181236,35.00085930699157,4.815198688533542,3.9591451483123383,0.06978675216710928,20517
279.8,260.5,83.10812234673577,80.77159154059056,26.88733595405754,24.63981056017444,10.51692344747318,10.339222291790067,0.06943673333543945,21494
183.9,184.8,4.158124577258358,4.578209256903839,16.466258509413645,16.623875093338867,1.1945052034923518,1.2189590414843205,0.068286805689152,22471
501.6,471.5,44.1456679641389,23.62731470142132,49.954942002113214,46.494003356418375,5.426456239881714,3.0535709328328884,0.06758752471730177,23448
205.2,201.4,22.062638101550775,17.135927170713583,20.294194734332528,20.142096503733214,3.0137459897401015,2.3667172215707373,0.06646436720537431,24425
175.7,223.1,82.23144167531055,86.68385086046882,13.861139717932591,19.293284312002434,9.086976518827713,9.704000122704073,0.06593506344371944,25402
246.6,246.5,2.615339366124404,2.29128784747792,25.824332702572512,25.71952859418378,1.0074853141839935,0.958816800435364,0.06534232334171855,26379
245.8,206.2,77.4490800461826,44.422516812985734,22.63294313917626,18.332732023703908,9.69169448488522,6.402192788375192,0.06454281565736127,27356
813.2,825.9,59.150316989852215,64.6706270264948,71.16123936369159,72.64939193115777,7.326275794139376,7.685072874689391,0.06432261315299279,28333
411.2,407.7,10.524257693538296,11.975391434103521,33.34605203030631,33.40695051188802,2.306241971208618,2.6333480671026774,0.06394402019702458,29310
237.6,239.5,1.7435595774162693,0.806225774829855,18.82875822006434,19.271511492883757,1.0849669380856675,0.841254664185127,0.06376063240693926,30287
328.5,351.4,21.518596608515157,48.88598981303334,29.090065055680657,32.18091795650503,3.0721887276567745,5.515777703692729,0.06330467294234321,31264
507.5,533.2,37.707426324266685,64.56128871080563,50.38158840940077,52.967464403935,4.785413036887439,7.637826119016703,0.06279088358491068,32241
359.8,352.4,36.40824082539556,37.14888962001422,32.389003319442196,31.6541251323805,4.468134576105808,4.4933608435256795,0.06272495562018122,33218
356.0,406.0,110.8115517443917,23.353800547234275,35.78045374681036,41.44109248534982,12.86311564143244,3.273376880805154,0.06262764012099784,34195
428.9,429.1,0.5385164807134505,0.30000000000000004,26.327631642779213,26.350100125014293,0.678669984307276,0.6661107944100549,0.06206228931033141,35172
507.0,500.0,22.031795206019865,11.392980294900891,49.81284291346095,48.99323593456853,3.23838389460743,2.033638224016546,0.061869259569088515,36149
575.7,643.0,210.81510856672486,322.3808306956231,52.327564762995806,58.50824099831428,23.619545969494652,34.458489421579,0.06176839127541814,37126
532.3,535.5,24.24066830761891,19.50512753098528,50.84734931501691,51.07540369780327,3.401143076660512,2.905716295090919,0.06154158812477632,38103
372.5,362.3,37.038493489881574,39.91002380355091,36.13455355099286,35.05227658602144,4.584522506605803,4.928540466588697,0.06123931830636428,39080
313.7,329.0,28.743868911473974,23.84114091229696,30.37699148378112,32.55321001865516,4.425105627827667,3.8236652173490207,0.06117971711615692,40057
372.7,292.9,116.11636404917266,161.99101826953247,37.658505440181166,28.945016362056474,13.405775829207045,18.057276519707514,0.06104545648702589,41034
422.4,416.7,37.05185555407448,24.012704970494266,41.14031431571192,40.33327927470354,4.542806070289334,3.0533032182160516,0.06108690547769233,42011
143.1,69.1,92.50778345631248,55.970438626117634,10.971733015455248,4.752830218507798,8.401628333809153,5.340597990425691,0.060585789920089214,42988
988.9,953.3,22.52309925387712,79.60408280986599,96.79488935392064,93.13858718366635,2.443753705276744,8.727032070555499,0.060675159047149,43965
474.2,479.8,83.30402151156929,91.57707136614492,40.862727565360274,41.228311970377604,10.582533423828316,11.350529074947412,0.06016993143632943,44942
357.2,341.6,21.88972361634564,19.7038067388005,32.01183017970888,30.272919920568885,3.003953374270385,2.5900601801490546,0.0605709649691074,45919
422.3,412.1,25.795542250551744,5.647123161398199,42.221339675802426,41.25322904698574,3.4641538462572443,1.272587484674301,0.060207515947345365,46896
480.1,500.8,91.7098140876973,87.94634728060058,46.64665754561872,48.87293222218976,10.563183619959482,9.936464576611414,0.06014066586078375,47873
526.6,444.4,304.0023684118267,245.80366148615443,49.25957612662465,41.30724885199161,30.851510215317372,24.663707448828863,0.06008796354216217,48850
527.2,597.7,39.567158098604956,77.6441240532727,50.357312839529676,58.389636360300955,4.973408051164612,9.093008605103808,0.05994568019342766,49827
236.9,237.3,1.2206555615733703,1.1,19.155126641608973,19.326003723020122,0.8672933661527417,0.8115394980419948,0.05993138246825433,50804
467.9,492.4,46.78557469990083,107.25875255660958,45.01667895907075,47.5459000067115,5.5406062863786,11.51715844617674,0.05986885603292323,51781
511.0,525.0,23.03041467277565,23.916521486202797,49.17444501881519,51.010746987388245,3.474772916891565,3.3576020818340644,0.05957475807155528,52758
452.6,426.3,63.41797852344397,55.9321910888533,43.48679622806068,40.48993752426383,7.908087250538685,7.408894800876967,0.0594121208500227,53735
488.9,453.7,55.723334430021325,146.2915240196779,48.76472991019452,44.953221527338,6.811838750362355,15.9859023453501,0.05951166204048154,54712
478.8,462.8,69.66462516945025,43.96998976574819,48.40512833926518,46.727792485351635,8.386636022788032,5.304806355307764,0.05938388770989537,55689
422.8,401.8,71.03914413898862,75.74140215232353,40.06222865330941,37.65555633395661,9.002699070618597,9.45082077350152,0.05914351632751853,56666
1000.0,983.0,0.0,42.76447123489311,93.93970754850685,91.97503660900868,1.4746159435356894,5.045322016099504,0.059062724629895605,57643
623.7,631.0,107.20452415826489,47.486840282335066,62.95638610718094,64.17492205855724,12.045793593147918,5.722327531967287,0.059100552867171446,58620
386.6,391.8,8.708616422830897,14.246403054806501,38.514718243263005,39.28115749971351,1.3533459549887383,1.921702537125294,0.059005146798512834,59597
182.6,156.4,32.757289265139136,19.26239860453521,13.736642445968316,11.421706083447319,3.4801125883641704,2.266756176973679,0.059034216077569264,60574
270.1,260.0,51.46348219854541,45.017774267504606,22.429474559492647,21.383826459483505,5.902866341427574,5.234501975600208,0.05871432104520687,61551
227.9,229.1,2.4269322199023193,1.7,16.232281886264598,16.21306849920972,0.721714836098111,0.7255510160641746,0.05900649278745922,62528
750.7,709.4,87.04831991486108,92.78599032181529,73.19100054614798,68.47722656943027,9.84132935734904,10.572792071495563,0.05876408479612091,63505
695.5,676.6,112.55332069734771,111.93498112743843,69.42424258640322,67.23072422606157,12.547443152046709,12.455529195314249,0.0587147359136672,64482
571.8,567.2,75.378776853966,61.390227235285586,55.20472861774623,54.82790658919742,8.567769598128926,7.012592751507872,0.05864557618143752,65459
407.2,447.3,105.97811094749709,84.46898839219043,38.8944621891113,43.34427049146867,11.981367515213005,9.696469099887928,0.05854418761303752,66436
515.9,514.6,19.418805318556547,7.631513611335565,50.65956779844464,50.9753321993023,3.2013147090859047,2.1559247015238756,0.058308853162500195,67413
519.6,521.7,8.534635317340747,9.829038610159184,51.33427154852189,51.35054025677259,2.1071204343963963,2.220594329197315,0.05859231668979146,68390
810.5,856.6,271.8625571865313,234.80085178721137,75.9079924980022,80.88161635714326,26.996922601693722,23.896858660796326,0.05818184607394406,69367
245.6,208.9,45.581136449193544,44.06915020737296,21.138663513358825,17.089782178804313,5.800182402637595,5.774388849959119,0.05826545400714681,70344
273.1,277.7,33.03165148762623,76.21817368580803,21.91213322227073,23.76196939668852,4.49744245238566,8.838626288007788,0.05812381753581699,71321
335.6,334.6,4.363484845854285,7.031358332498778,33.97668312478002,33.71968062461768,1.041674246870045,1.5222476189506662,0.05810628511095477,72298
232.0,231.9,1.0,1.374772708486752,17.347597653519845,17.356222756504888,0.7866996587200303,0.841141212964844,0.05802485388737006,73275
429.5,431.8,140.29415525958308,106.70407677310179,37.6992321913359,38.884354978045785,15.38114556463973,12.01138007001987,0.057937991350675705,74252
579.3,577.1,57.82395697286722,69.17868168735221,57.970452867843136,58.03203697792293,7.002817151085157,7.800785056449621,0.05787224262312222,75229
373.3,379.3,85.36749967054207,78.35055838984174,30.595823072519657,31.273476248864895,9.426685099560817,8.627004962471307,0.05804573857781221,76206
289.2,290.4,21.390652163971065,21.978170988505845,22.812363120009955,23.323288724430693,3.586748078754598,3.5555257141410994,0.05802995396230825,77183
610.4,618.3,72.29550470119148,138.1296854408928,56.810227804150784,57.8477615754303,8.443657631207094,14.076834747419891,0.0579141474909463,78160
777.9,788.3,107.44808048541398,129.9330981697889,75.39070285382816,77.0461070207199,12.7929343777279,13.747290024753699,0.057702452706948945,79137
530.9,521.1,28.22924015980593,17.25369525637914,52.4550692887656,51.40863935625206,3.739482603177408,2.588873888489936,0.058002042443993956,80114
416.7,423.2,10.909170454255449,8.68101376568428,42.111647555026074,42.76057598903243,2.0307495037815952,1.8967110372170932,0.057827803932564925,81091
599.9,670.6,102.92565277908126,84.93079535716123,57.890496579414574,65.52195629316525,11.525215938161521,9.707140595689161,0.057448170899948386,82068
969.0,971.9,47.7995815881269,44.822873624969645,91.45797611669046,92.72324809208934,4.2047459097744735,4.298154213814899,0.057548884649359776,83045
362.2,391.1,124.24153894732632,129.02980275889752,34.45064306499086,37.49455461053633,13.080388890527983,14.285039789922546,0.05739456624509487,84022
