eval/episode_length,eval/episode_length_no_fix_seed,eval/episode_length_std,eval/episode_length_std_no_fix_seed,eval/normalized_episode_reward,eval/normalized_episode_reward_no_fix_seed,eval/normalized_episode_reward_std,eval/normalized_episode_reward_std_no_fix_seed,loss,timestep
97.4,97.4,1.5620499351813308,1.5620499351813308,7.668323475387262,7.668323475387262,0.7575059862818703,0.7575059862818703,0.28844845242680983,7811
71.2,66.9,16.94579593881621,17.558188972670273,4.7063693795296135,4.414741946671211,1.767551624659334,1.808005733524369,0.14131719176541213,15622
317.5,292.7,27.34318927996513,83.94170596312657,32.42097141858234,29.91712923502353,3.9518445865594525,10.034616658450927,0.10634163997932868,23433
45.9,45.2,0.7000000000000001,0.6,2.805883708106144,2.7545226868071904,0.6765937824348236,0.6829380549114904,0.09361006012190007,31244
60.4,64.1,7.51265598839718,5.647123161398199,3.1867664996218728,2.9395509487011124,1.0920195198774936,0.8422818921562896,0.08799238449277091,39055
242.6,234.4,21.4997674406027,1.8,24.55009034287268,23.530749070617997,3.251603580534835,0.8012673540905352,0.0844480242814351,46866
154.3,154.4,15.90628806478746,16.54206758540177,14.46052378790922,14.469949900345155,2.8174674146438394,2.8965101500317303,0.08215130665454591,54677
34.0,33.9,0.0,0.3,2.104804694078915,2.0979581780614045,0.6265970913831748,0.6405807752340329,0.08043171996695435,62488
36.1,35.3,0.7,0.6403124237432849,2.197862177473587,2.1464515830048767,0.6660189163347482,0.6633235636447786,0.07922091212106049,70299
119.8,120.1,0.6,0.9433981132056604,9.5336303755843,9.547140570953069,0.665388726270699,0.7186792863542529,0.07797150765648769,78110
154.0,154.1,0.7745966692414834,0.7000000000000001,13.907070834865904,13.867439597393021,0.7528805412306235,0.7618432857523518,0.07697796854550014,85921
181.1,183.3,8.757282683572571,2.325940669922601,18.559174211275444,18.835038491346513,1.8130152154455028,0.9043893139633938,0.076163619277862,93732
133.4,100.2,44.2045246552884,55.40180502474627,11.818257332259844,8.434890314927108,5.125089050153622,6.260069565104348,0.07548708305852142,101543
144.8,122.8,29.280710373896326,48.19294554185291,12.959534917280186,10.693307980665221,3.689482764544802,5.571312188774719,0.07484472212584917,109354
43.0,42.2,0.7745966692414834,0.7483314773547882,2.664365051274125,2.606611673722342,0.6805645840323269,0.680949593498068,0.0745486309001899,117165
