eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,eval/pick_success,holdout_loss,loss,timestep
40.0,0.0,0.34,0.4737087712930804,0.38,-1.7357582854237534,4.9317907299965045,92316
40.0,0.0,0.37,0.4828043081829324,0.37,-1.736145728902452,7.193824715675065,92944
40.0,0.0,0.34,0.4737087712930805,0.36,-1.73645988277569,3.56951087371559,93572
40.0,0.0,0.33,0.47021271782034985,0.33,-1.7367382286840147,6.0927123947508015,94200
40.0,0.0,0.34,0.4737087712930805,0.36,-1.7375966785060362,8.338406625067357,94828
40.0,0.0,0.39,0.4877499359302879,0.4,-1.73721615011525,13.671506299334716,95456
40.0,0.0,0.4,0.4898979485566356,0.41,-1.737924963615506,7.136478154522587,96084
40.0,0.0,0.31,0.46249324319388707,0.33,-1.7378335217381746,3.8735856728948597,96712
40.0,0.0,0.36,0.48,0.37,-1.7380064372803747,8.6188967486096,97340
40.0,0.0,0.26,0.4386342439892262,0.26,-1.7388699314776508,17.73598345943317,97968
40.0,0.0,0.42,0.49355850717012273,0.43,-1.73916119754694,21.329737465852393,98596
40.0,0.0,0.33,0.47021271782034985,0.34,-1.7395009848342562,25.66800065177262,99224
40.0,0.0,0.38,0.48538644398046393,0.38,-1.7396584481570372,33.35792031504545,99852
40.0,0.0,0.33,0.47021271782034985,0.34,-1.7403430665374553,39.76625652108223,100480
40.0,0.0,0.37,0.4828043081829324,0.4,-1.7402098710369909,42.847402038088255,101108
40.0,0.0,0.38,0.48538644398046393,0.4,-1.7401653057450706,40.28740920534558,101736
40.0,0.0,0.32,0.46647615158762396,0.33,-1.7407443422800406,59.905376935840366,102364
40.0,0.0,0.38,0.48538644398046393,0.39,-1.7411432241558273,49.70139242471402,102992
40.0,0.0,0.32,0.46647615158762396,0.33,-1.7411245153208446,110.32316255759278,103620
40.0,0.0,0.35,0.4769696007084728,0.36,-1.7415934100652197,90.05861773536463,104248
40.0,0.0,0.36,0.48000000000000004,0.39,-1.74176160488159,136.0906112843258,104876
40.0,0.0,0.39,0.4877499359302879,0.41,-1.7421451789937985,103.37637105033664,105504
40.0,0.0,0.37,0.4828043081829324,0.39,-1.742184234652553,134.50505103844748,106132
40.0,0.0,0.39,0.4877499359302879,0.41,-1.7425527303082182,182.98743742932191,106760
40.0,0.0,0.35,0.4769696007084728,0.36,-1.7426659117458736,174.3047020890911,107388
40.0,0.0,0.35,0.4769696007084728,0.36,-1.742859102168661,252.55287191594462,108016
40.0,0.0,0.43,0.4950757517794625,0.45,-1.7430888101173827,286.3642835913189,108644
40.0,0.0,0.39,0.4877499359302879,0.41,-1.7432178782809293,310.5775990395029,109272
40.0,0.0,0.37,0.4828043081829324,0.4,-1.7436460869707138,303.6396488999105,109900
40.0,0.0,0.41,0.4918333050943174,0.41,-1.743708374773624,349.64987743166597,110528
40.0,0.0,0.45,0.49749371855331004,0.47,-1.7438503813212056,372.7166807666703,111156
40.0,0.0,0.48,0.4995998398718718,0.49,-1.7440732263835388,443.3002654887309,111784
40.0,0.0,0.46,0.49839743177508444,0.47,-1.744275427927637,477.59718314781287,112412
40.0,0.0,0.4,0.4898979485566356,0.42,-1.7444020344573214,459.98724415575623,113040
40.0,0.0,0.33,0.47021271782034985,0.34,-1.7445905947001894,547.5553530572324,113668
40.0,0.0,0.4,0.4898979485566356,0.4,-1.7446937817297152,578.3872346589517,114296
40.0,0.0,0.4,0.48989794855663565,0.4,-1.7448087649740234,665.1179597453709,114924
40.0,0.0,0.36,0.48,0.37,-1.7449858627121937,594.386883932314,115552
40.0,0.0,0.34,0.4737087712930805,0.36,-1.745065432255435,721.9407667050697,116180
40.0,0.0,0.38,0.48538644398046393,0.4,-1.7452180516567959,737.5247446260636,116808
40.0,0.0,0.43,0.4950757517794625,0.46,-1.7453486258816553,743.4342423491407,117436
40.0,0.0,0.47,0.49909918853871116,0.49,-1.745358839346346,791.4168980725246,118064
40.0,0.0,0.46,0.49839743177508444,0.46,-1.7455055252381928,874.1610065231672,118692
40.0,0.0,0.32,0.46647615158762396,0.34,-1.7456257965913993,895.6189100966332,119320
40.0,0.0,0.4,0.48989794855663565,0.42,-1.7457120116728875,942.0778349793638,119948
40.0,0.0,0.4,0.4898979485566356,0.4,-1.745747701757271,977.1848490625432,120576
40.0,0.0,0.4,0.4898979485566356,0.41,-1.7458351531605798,995.5778440692625,121204
40.0,0.0,0.38,0.48538644398046393,0.39,-1.7458919345573234,999.177099771561,121832
40.0,0.0,0.38,0.48538644398046393,0.39,-1.7459479596964123,997.0080684480398,122460
40.0,0.0,0.36,0.48,0.37,-1.7459862254987057,1002.1601270684013,123088
40.0,0.0,0.32,0.46647615158762396,0.32,-1.7460330210293946,1008.2884091518494,123716
40.0,0.0,0.4,0.4898979485566356,0.39,-1.746055853404815,1011.5148606566099,124344
40.0,0.0,0.31,0.462493243193887,0.36,-1.7460742921206607,1012.2164271371382,124972
40.0,0.0,0.32,0.46647615158762396,0.35,-1.7460902841987145,1012.2740072611783,125600
